"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,12,"ARG","Argentina",1,"Buenos Aires",1,"Adolfo Alsina","Partido","Part",NA,"Carhue"
2,12,"ARG","Argentina",1,"Buenos Aires",2,"Adolfo Gonzales Chaves","Partido","Part",NA,"Adolfo Gonzal"
3,12,"ARG","Argentina",1,"Buenos Aires",3,"Alberti","Partido","Part",NA,NA
4,12,"ARG","Argentina",1,"Buenos Aires",4,"Almirante Brown","Partido","Part",NA,NA
5,12,"ARG","Argentina",1,"Buenos Aires",5,"Ameghino","Partido","Part",NA,NA
6,12,"ARG","Argentina",1,"Buenos Aires",6,"Arrecifes","Partido","Part",NA,"Bartolome Mitre"
7,12,"ARG","Argentina",1,"Buenos Aires",7,"Avellaneda","Partido","Part",NA,NA
8,12,"ARG","Argentina",1,"Buenos Aires",8,"Ayacucho","Partido","Part",NA,NA
9,12,"ARG","Argentina",1,"Buenos Aires",9,"Azul","Partido","Part",NA,NA
10,12,"ARG","Argentina",1,"Buenos Aires",10,"Bahía Blanca","Partido","Part",NA,NA
11,12,"ARG","Argentina",1,"Buenos Aires",11,"Balcarce","Partido","Part",NA,NA
12,12,"ARG","Argentina",1,"Buenos Aires",12,"Baradero","Partido","Part",NA,NA
13,12,"ARG","Argentina",1,"Buenos Aires",13,"Benito Juárez","Partido","Part",NA,NA
14,12,"ARG","Argentina",1,"Buenos Aires",14,"Berazategui","Partido","Part",NA,NA
15,12,"ARG","Argentina",1,"Buenos Aires",15,"Berisso","Partido","Part",NA,NA
16,12,"ARG","Argentina",1,"Buenos Aires",16,"Bolívar","Partido","Part",NA,NA
17,12,"ARG","Argentina",1,"Buenos Aires",17,"Bragado","Partido","Part",NA,NA
18,12,"ARG","Argentina",1,"Buenos Aires",18,"Brandsen","Partido","Part",NA,NA
19,12,"ARG","Argentina",1,"Buenos Aires",19,"Cañuelas","Partido","Part",NA,NA
20,12,"ARG","Argentina",1,"Buenos Aires",20,"Campana","Partido","Part",NA,NA
21,12,"ARG","Argentina",1,"Buenos Aires",21,"Capitán Sarmiento","Partido","Part",NA,NA
22,12,"ARG","Argentina",1,"Buenos Aires",22,"Carlos Casares","Partido","Part",NA,NA
23,12,"ARG","Argentina",1,"Buenos Aires",23,"Carlos Tejedor","Partido","Part",NA,NA
24,12,"ARG","Argentina",1,"Buenos Aires",24,"Carmen de Areco","Partido","Part",NA,NA
25,12,"ARG","Argentina",1,"Buenos Aires",25,"Castelli","Partido","Part",NA,NA
26,12,"ARG","Argentina",1,"Buenos Aires",26,"Chacabuco","Partido","Part",NA,NA
27,12,"ARG","Argentina",1,"Buenos Aires",27,"Chascomús","Partido","Part",NA,NA
28,12,"ARG","Argentina",1,"Buenos Aires",28,"Chivilcoy","Partido","Part",NA,NA
29,12,"ARG","Argentina",1,"Buenos Aires",29,"Colón","Partido","Part",NA,NA
30,12,"ARG","Argentina",1,"Buenos Aires",30,"Coronel de Marina Leonardo Rosales","Partido","Part",NA,"Punta Alta|Coronel de Mariana Leonar"
31,12,"ARG","Argentina",1,"Buenos Aires",31,"Coronel Dorrego","Partido","Part",NA,NA
32,12,"ARG","Argentina",1,"Buenos Aires",32,"Coronel Pringles","Partido","Part",NA,NA
33,12,"ARG","Argentina",1,"Buenos Aires",33,"Coronel Suárez","Partido","Part",NA,NA
34,12,"ARG","Argentina",1,"Buenos Aires",34,"Daireaux","Partido","Part",NA,NA
35,12,"ARG","Argentina",1,"Buenos Aires",35,"Dolores","Partido","Part",NA,NA
36,12,"ARG","Argentina",1,"Buenos Aires",36,"Ensenada","Partido","Part",NA,NA
37,12,"ARG","Argentina",1,"Buenos Aires",37,"Escobar","Partido","Part",NA,"Belen de Escobar"
38,12,"ARG","Argentina",1,"Buenos Aires",38,"Esteban Echeverría","Partido","Part",NA,"Esteban Echeverri"
39,12,"ARG","Argentina",1,"Buenos Aires",39,"Exaltación de la Cruz","Partido","Part",NA,"Capilla del Señor"
40,12,"ARG","Argentina",1,"Buenos Aires",40,"Florencio Varela","Partido","Part",NA,NA
41,12,"ARG","Argentina",1,"Buenos Aires",41,"General Alvarado","Partido","Part",NA,"Miramar"
42,12,"ARG","Argentina",1,"Buenos Aires",42,"General Alvear","Partido","Part",NA,NA
43,12,"ARG","Argentina",1,"Buenos Aires",43,"General Arenales","Partido","Part",NA,NA
44,12,"ARG","Argentina",1,"Buenos Aires",44,"General Belgrano","Partido","Part",NA,NA
45,12,"ARG","Argentina",1,"Buenos Aires",45,"General Guido","Partido","Part",NA,NA
46,12,"ARG","Argentina",1,"Buenos Aires",46,"General Juan Madariaga","Partido","Part",NA,"General Juan"
47,12,"ARG","Argentina",1,"Buenos Aires",47,"General La Madrid","Partido","Part",NA,NA
48,12,"ARG","Argentina",1,"Buenos Aires",48,"General Las Heras","Partido","Part",NA,NA
49,12,"ARG","Argentina",1,"Buenos Aires",49,"General Lavalle","Partido","Part",NA,NA
50,12,"ARG","Argentina",1,"Buenos Aires",50,"General Paz","Partido","Part",NA,NA
51,12,"ARG","Argentina",1,"Buenos Aires",51,"General Pinto","Partido","Part",NA,NA
52,12,"ARG","Argentina",1,"Buenos Aires",52,"General Pueyrredón","Partido","Part",NA,"Mar del Plata"
53,12,"ARG","Argentina",1,"Buenos Aires",53,"General Rodríguez","Partido","Part",NA,NA
54,12,"ARG","Argentina",1,"Buenos Aires",54,"General San Martín","Partido","Part",NA,"General San Martín"
55,12,"ARG","Argentina",1,"Buenos Aires",55,"General Sarmiento","Partido","Part",NA,NA
56,12,"ARG","Argentina",1,"Buenos Aires",56,"General Viamonte","Partido","Part",NA,NA
57,12,"ARG","Argentina",1,"Buenos Aires",57,"General Villegas","Partido","Part",NA,NA
58,12,"ARG","Argentina",1,"Buenos Aires",58,"Guaminí","Partido","Part",NA,"Guamin|Guamin"
59,12,"ARG","Argentina",1,"Buenos Aires",59,"Hipólito Yrigoyen","Partido","Part",NA,"Henderson"
60,12,"ARG","Argentina",1,"Buenos Aires",60,"Junín","Partido","Part",NA,NA
61,12,"ARG","Argentina",1,"Buenos Aires",61,"La Costa","Partido","Part",NA,"NN"
62,12,"ARG","Argentina",1,"Buenos Aires",62,"La Matanza","Partido","Part",NA,NA
63,12,"ARG","Argentina",1,"Buenos Aires",63,"La Plata","Partido","Part",NA,NA
64,12,"ARG","Argentina",1,"Buenos Aires",64,"Lanús","Partido","Part",NA,NA
65,12,"ARG","Argentina",1,"Buenos Aires",65,"Laprida","Partido","Part",NA,NA
66,12,"ARG","Argentina",1,"Buenos Aires",66,"Las Flores","Partido","Part",NA,NA
67,12,"ARG","Argentina",1,"Buenos Aires",67,"Leandro N. Alem","Partido","Part",NA,"Vedia|Leonardo N. Alem"
68,12,"ARG","Argentina",1,"Buenos Aires",68,"Lincoln","Partido","Part",NA,NA
69,12,"ARG","Argentina",1,"Buenos Aires",69,"Lobería","Partido","Part",NA,NA
70,12,"ARG","Argentina",1,"Buenos Aires",70,"Lobos","Partido","Part",NA,NA
71,12,"ARG","Argentina",1,"Buenos Aires",71,"Lomas de Zamora","Partido","Part",NA,NA
72,12,"ARG","Argentina",1,"Buenos Aires",72,"Luján","Partido","Part",NA,NA
73,12,"ARG","Argentina",1,"Buenos Aires",73,"Magdalena","Partido","Part",NA,NA
74,12,"ARG","Argentina",1,"Buenos Aires",74,"Maipú","Partido","Part",NA,NA
75,12,"ARG","Argentina",1,"Buenos Aires",75,"Mar Chiquita","Partido","Part",NA,"Coronel Vidal"
76,12,"ARG","Argentina",1,"Buenos Aires",76,"Marcos Paz","Partido","Part",NA,NA
77,12,"ARG","Argentina",1,"Buenos Aires",77,"Mercedes","Partido","Part",NA,NA
78,12,"ARG","Argentina",1,"Buenos Aires",78,"Merlo","Partido","Part",NA,NA
79,12,"ARG","Argentina",1,"Buenos Aires",79,"Monte Hermoso","Partido","Part",NA,"NN"
80,12,"ARG","Argentina",1,"Buenos Aires",80,"Monte","Partido","Part",NA,"San Miguel del Monte"
81,12,"ARG","Argentina",1,"Buenos Aires",81,"Morón","Partido","Part",NA,NA
82,12,"ARG","Argentina",1,"Buenos Aires",82,"Moreno","Partido","Part",NA,"Mariano Moreno"
83,12,"ARG","Argentina",1,"Buenos Aires",83,"Navarro","Partido","Part",NA,NA
84,12,"ARG","Argentina",1,"Buenos Aires",84,"Necochea","Partido","Part",NA,NA
85,12,"ARG","Argentina",1,"Buenos Aires",85,"Nueve de Julio","Partido","Part",NA,"9 de Julio"
86,12,"ARG","Argentina",1,"Buenos Aires",86,"Olavarría","Partido","Part",NA,NA
87,12,"ARG","Argentina",1,"Buenos Aires",87,"Patagones","Partido","Part",NA,"Carmen de Patagones"
88,12,"ARG","Argentina",1,"Buenos Aires",88,"Pehuajó","Partido","Part",NA,NA
89,12,"ARG","Argentina",1,"Buenos Aires",89,"Pellegrini","Partido","Part",NA,NA
90,12,"ARG","Argentina",1,"Buenos Aires",90,"Pergamino","Partido","Part",NA,NA
91,12,"ARG","Argentina",1,"Buenos Aires",91,"Pila","Partido","Part",NA,NA
92,12,"ARG","Argentina",1,"Buenos Aires",92,"Pilar","Partido","Part",NA,NA
93,12,"ARG","Argentina",1,"Buenos Aires",93,"Pinamar","Partido","Part",NA,"NN"
94,12,"ARG","Argentina",1,"Buenos Aires",94,"Puán","Partido","Part",NA,NA
95,12,"ARG","Argentina",1,"Buenos Aires",95,"Quilmes","Partido","Part",NA,NA
96,12,"ARG","Argentina",1,"Buenos Aires",96,"Ramallo","Partido","Part",NA,NA
97,12,"ARG","Argentina",1,"Buenos Aires",97,"Rauch","Partido","Part",NA,NA
98,12,"ARG","Argentina",1,"Buenos Aires",98,"Rivadavia","Partido","Part",NA,NA
99,12,"ARG","Argentina",1,"Buenos Aires",99,"Rojas","Partido","Part",NA,NA
100,12,"ARG","Argentina",1,"Buenos Aires",100,"Roque Pérez","Partido","Part",NA,NA
101,12,"ARG","Argentina",1,"Buenos Aires",101,"Saavedra","Partido","Part",NA,NA
102,12,"ARG","Argentina",1,"Buenos Aires",102,"Saladillo","Partido","Part",NA,NA
103,12,"ARG","Argentina",1,"Buenos Aires",103,"Salliqueló","Partido","Part",NA,"Salliquello|Salliquello"
104,12,"ARG","Argentina",1,"Buenos Aires",104,"Salto","Partido","Part",NA,NA
105,12,"ARG","Argentina",1,"Buenos Aires",105,"San Andrés de Giles","Partido","Part",NA,"San Andres de Giles"
106,12,"ARG","Argentina",1,"Buenos Aires",106,"San Antonio de Areco","Partido","Part",NA,"San Antonio de"
107,12,"ARG","Argentina",1,"Buenos Aires",107,"San Cayetano","Partido","Part",NA,NA
108,12,"ARG","Argentina",1,"Buenos Aires",108,"San Fernando (1)","Partido","Part",NA,NA
109,12,"ARG","Argentina",1,"Buenos Aires",109,"San Fernando (2)","Partido","Part",NA,NA
110,12,"ARG","Argentina",1,"Buenos Aires",110,"San Isidro","Partido","Part",NA,NA
111,12,"ARG","Argentina",1,"Buenos Aires",111,"San Nicolás","Partido","Part",NA,"San Nicolás de los Arroyo"
112,12,"ARG","Argentina",1,"Buenos Aires",112,"San Pedro","Partido","Part",NA,NA
113,12,"ARG","Argentina",1,"Buenos Aires",113,"San Vicente","Partido","Part",NA,NA
114,12,"ARG","Argentina",1,"Buenos Aires",114,"Suipacha","Partido","Part",NA,NA
115,12,"ARG","Argentina",1,"Buenos Aires",115,"Tandil","Partido","Part",NA,NA
116,12,"ARG","Argentina",1,"Buenos Aires",116,"Tapalqué","Partido","Part",NA,"Taplquen|Taplquen"
117,12,"ARG","Argentina",1,"Buenos Aires",117,"Tigre","Partido","Part",NA,NA
118,12,"ARG","Argentina",1,"Buenos Aires",118,"Tordillo","Partido","Part",NA,"General Conesa"
119,12,"ARG","Argentina",1,"Buenos Aires",119,"Tornquist","Partido","Part",NA,NA
120,12,"ARG","Argentina",1,"Buenos Aires",120,"Trenque Lauquen","Partido","Part",NA,NA
121,12,"ARG","Argentina",1,"Buenos Aires",121,"Tres Arroyos","Partido","Part",NA,NA
122,12,"ARG","Argentina",1,"Buenos Aires",122,"Tres de Febrero","Partido","Part",NA,"Caseros"
123,12,"ARG","Argentina",1,"Buenos Aires",123,"Tres Lomas","Partido","Part",NA,NA
124,12,"ARG","Argentina",1,"Buenos Aires",124,"Veinticinco de Mayo","Partido","Part",NA,"25 de Mayo"
125,12,"ARG","Argentina",1,"Buenos Aires",125,"Vicente López","Partido","Part",NA,"Olivos"
126,12,"ARG","Argentina",1,"Buenos Aires",126,"Villa Gesell","Partido","Part",NA,NA
127,12,"ARG","Argentina",1,"Buenos Aires",127,"Villarino","Partido","Part",NA,"Medanos"
128,12,"ARG","Argentina",1,"Buenos Aires",128,"Zárate","Partido","Part",NA,NA
129,12,"ARG","Argentina",2,"Córdoba",129,"Calamuchita","Departamento","Department",NA,"San Agustin"
130,12,"ARG","Argentina",2,"Córdoba",130,"Capital","Departamento","Department",NA,"Cordoba|Capital (Córdoba)"
131,12,"ARG","Argentina",2,"Córdoba",131,"Colón","Departamento","Department",NA,"Jesus Maria"
132,12,"ARG","Argentina",2,"Córdoba",132,"Cruz del Eje","Departamento","Department",NA,NA
133,12,"ARG","Argentina",2,"Córdoba",133,"General Roca","Departamento","Department",NA,"Villa Huidobro"
134,12,"ARG","Argentina",2,"Córdoba",134,"General San Martín","Departamento","Department",NA,"General San Martín"
135,12,"ARG","Argentina",2,"Córdoba",135,"Ischilín","Departamento","Department",NA,"Dean Funes"
136,12,"ARG","Argentina",2,"Córdoba",136,"Juárez Celman","Departamento","Department",NA,"La Carlota"
137,12,"ARG","Argentina",2,"Córdoba",137,"Marcos Juárez","Departamento","Department",NA,NA
138,12,"ARG","Argentina",2,"Córdoba",138,"Minas","Departamento","Department",NA,"San Carlos"
139,12,"ARG","Argentina",2,"Córdoba",139,"Pocho","Departamento","Department",NA,"Salsacate"
140,12,"ARG","Argentina",2,"Córdoba",140,"Presidente Roque Sáenz Peña","Departamento","Department",NA,"Laboulaye|Presidente Roque S enz Pe"
141,12,"ARG","Argentina",2,"Córdoba",141,"Punilla","Departamento","Department",NA,"Cosquin"
142,12,"ARG","Argentina",2,"Córdoba",142,"Rió Cuarto","Departamento","Department",NA,NA
143,12,"ARG","Argentina",2,"Córdoba",143,"Rió Primero","Departamento","Department",NA,"Santa Rosa del Rio Primer|Rio Primer"
144,12,"ARG","Argentina",2,"Córdoba",144,"Rió Seco","Departamento","Department",NA,"Villa de Maria"
145,12,"ARG","Argentina",2,"Córdoba",145,"Rió Segundo","Departamento","Department",NA,"Villa del Rosario"
146,12,"ARG","Argentina",2,"Córdoba",146,"San Alberto","Departamento","Department",NA,"Villa Cura Brochero"
147,12,"ARG","Argentina",2,"Córdoba",147,"San Javier","Departamento","Department",NA,"Villa Dolores"
148,12,"ARG","Argentina",2,"Córdoba",148,"San Justo","Departamento","Department",NA,"San Francisco"
149,12,"ARG","Argentina",2,"Córdoba",149,"Santa María","Departamento","Department",NA,"Alta Gracia"
150,12,"ARG","Argentina",2,"Córdoba",150,"Sobremonte","Departamento","Department",NA,"San Francisco del Canar"
151,12,"ARG","Argentina",2,"Córdoba",151,"Tercero Arriba","Departamento","Department",NA,"Oliva"
152,12,"ARG","Argentina",2,"Córdoba",152,"Totoral","Departamento","Department",NA,"Villa General Mitre"
153,12,"ARG","Argentina",2,"Córdoba",153,"Tulumba","Departamento","Department",NA,"Villa Tulumba"
154,12,"ARG","Argentina",2,"Córdoba",154,"Unión","Departamento","Department",NA,"Bell Ville"
155,12,"ARG","Argentina",3,"Catamarca",155,"Ambato","Departamento","Department",NA,"La Puerta"
156,12,"ARG","Argentina",3,"Catamarca",156,"Ancasti","Departamento","Department",NA,NA
157,12,"ARG","Argentina",3,"Catamarca",157,"Andalgalá","Departamento","Department",NA,NA
158,12,"ARG","Argentina",3,"Catamarca",158,"Antofagasta de la Sierra","Departamento","Department",NA,"Antofagasta"
159,12,"ARG","Argentina",3,"Catamarca",159,"Belén","Departamento","Department",NA,NA
160,12,"ARG","Argentina",3,"Catamarca",160,"Capayán","Departamento","Department",NA,"Huillapima"
161,12,"ARG","Argentina",3,"Catamarca",161,"Capital","Departamento","Department",NA,"Capital (Catamarca)|Catamarca"
162,12,"ARG","Argentina",3,"Catamarca",162,"El Alto","Departamento","Department",NA,"Villa El Alto"
163,12,"ARG","Argentina",3,"Catamarca",163,"Fray Mamerto Esquiú","Departamento","Department",NA,"San Jose"
164,12,"ARG","Argentina",3,"Catamarca",164,"La Paz","Departamento","Department",NA,"San Antonio"
165,12,"ARG","Argentina",3,"Catamarca",165,"Paclín","Departamento","Department",NA,"La Merced"
166,12,"ARG","Argentina",3,"Catamarca",166,"Pomán","Departamento","Department",NA,"Saujil"
167,12,"ARG","Argentina",3,"Catamarca",167,"Santa María","Departamento","Department",NA,NA
168,12,"ARG","Argentina",3,"Catamarca",168,"Santa Rosa","Departamento","Department",NA,"Banado de Ovanta"
169,12,"ARG","Argentina",3,"Catamarca",169,"Tinogasta","Departamento","Department",NA,NA
170,12,"ARG","Argentina",3,"Catamarca",170,"Valle Viejo","Departamento","Department",NA,"San Isidro"
171,12,"ARG","Argentina",4,"Chaco",171,"Almirante Brown","Departamento","Department",NA,"Pampa del Infierno"
172,12,"ARG","Argentina",4,"Chaco",172,"Bermejo","Departamento","Department",NA,"La Leonesa"
173,12,"ARG","Argentina",4,"Chaco",173,"Chacabuco","Departamento","Department",NA,"Charta"
174,12,"ARG","Argentina",4,"Chaco",174,"Comandante Fernández","Departamento","Department",NA,"Pcia. Roque Saenz Pena|Comandante Fe"
175,12,"ARG","Argentina",4,"Chaco",175,"Doce de Octubre","Departamento","Department",NA,"Gral. Pinedo|12 de Octubre"
176,12,"ARG","Argentina",4,"Chaco",176,"Fray Justo Santa María de Oro","Departamento","Department",NA,"Santa Silvina|Fray Justo Santa Maria"
177,12,"ARG","Argentina",4,"Chaco",177,"General Belgrano","Departamento","Department",NA,"Corzuela"
178,12,"ARG","Argentina",4,"Chaco",178,"General Donovan","Departamento","Department",NA,"Makalle"
179,12,"ARG","Argentina",4,"Chaco",179,"General Güemes","Departamento","Department",NA,"J.J. Castelli"
180,12,"ARG","Argentina",4,"Chaco",180,"Independencia","Departamento","Department",NA,"Campo Largo"
181,12,"ARG","Argentina",4,"Chaco",181,"Libertad","Departamento","Department",NA,"Tirol"
182,12,"ARG","Argentina",4,"Chaco",182,"Libertador General San Martín","Departamento","Department",NA,"Gral. Jose de San Martin|Libertador"
183,12,"ARG","Argentina",4,"Chaco",183,"Maipú","Departamento","Department",NA,"Tres Isletas"
184,12,"ARG","Argentina",4,"Chaco",184,"Mayor Luis J. Fontana","Departamento","Department",NA,"Villa Angela|Mayor Luis J. Fonta"
185,12,"ARG","Argentina",4,"Chaco",185,"Nueve de Julio","Departamento","Department",NA,"Las Brenas|9 de Julio"
186,12,"ARG","Argentina",4,"Chaco",186,"O'Higgins","Departamento","Department",NA,"San Bernardo|O. Higgins"
187,12,"ARG","Argentina",4,"Chaco",187,"Presidencia de la Plaza","Departamento","Department",NA,"Presidente d"
188,12,"ARG","Argentina",4,"Chaco",188,"Primero de Mayo","Departamento","Department",NA,"Margarita Belen|1ro. de Mayo"
189,12,"ARG","Argentina",4,"Chaco",189,"Quitilipi","Departamento","Department",NA,NA
190,12,"ARG","Argentina",4,"Chaco",190,"San Fernando","Departamento","Department",NA,"Resistencia"
191,12,"ARG","Argentina",4,"Chaco",191,"San Lorenzo","Departamento","Department",NA,"Villa Berthet"
192,12,"ARG","Argentina",4,"Chaco",192,"Sargento Cabral","Departamento","Department",NA,"Colonia Elisa"
193,12,"ARG","Argentina",4,"Chaco",193,"Tapenagá","Departamento","Department",NA,"Charadai|Tapenag"
194,12,"ARG","Argentina",4,"Chaco",194,"Veinticinco de Mayo","Departamento","Department",NA,"Machagai|25 de Mayo"
195,12,"ARG","Argentina",5,"Chubut",195,"Biedma","Departamento","Department",NA,"Puerto Madryn"
196,12,"ARG","Argentina",5,"Chubut",196,"Cushamen","Departamento","Department",NA,"Leleque"
197,12,"ARG","Argentina",5,"Chubut",197,"Escalante","Departamento","Department",NA,"Comodoro Rivadavia"
198,12,"ARG","Argentina",5,"Chubut",198,"Florentino Ameghino","Departamento","Department",NA,"Camarones"
199,12,"ARG","Argentina",5,"Chubut",199,"Futaleufú","Departamento","Department",NA,"Esquel"
200,12,"ARG","Argentina",5,"Chubut",200,"Gaiman","Departamento","Department",NA,NA
201,12,"ARG","Argentina",5,"Chubut",201,"Gastre","Departamento","Department",NA,NA
202,12,"ARG","Argentina",5,"Chubut",202,"Languiñeo","Departamento","Department",NA,"Tecka"
203,12,"ARG","Argentina",5,"Chubut",203,"Mártires","Departamento","Department",NA,"Las Plumas|Martines"
204,12,"ARG","Argentina",5,"Chubut",204,"Paso de Indios","Departamento","Department",NA,NA
205,12,"ARG","Argentina",5,"Chubut",205,"Rawson","Departamento","Department",NA,NA
206,12,"ARG","Argentina",5,"Chubut",206,"Rió Senguer","Departamento","Department",NA,"Rio Senguerr|Rio Senguerr"
207,12,"ARG","Argentina",5,"Chubut",207,"Sarmiento","Departamento","Department",NA,NA
208,12,"ARG","Argentina",5,"Chubut",208,"Tehuelches","Departamento","Department",NA,"Jose de San Martin"
209,12,"ARG","Argentina",5,"Chubut",209,"Telsen","Departamento","Department",NA,NA
210,12,"ARG","Argentina",6,"Ciudad de Buenos Aires",210,"Distrito Federal","Distrito Federal","Federal District",NA,"Distrito Escolar X|Capital Federal"
211,12,"ARG","Argentina",7,"Corrientes",211,"Bella Vista","Departamento","Department",NA,NA
212,12,"ARG","Argentina",7,"Corrientes",212,"Berón de Astrada","Departamento","Department",NA,NA
213,12,"ARG","Argentina",7,"Corrientes",213,"Capital","Departamento","Department",NA,"Corrientes|Capital (Corrientes)"
214,12,"ARG","Argentina",7,"Corrientes",214,"Concepción","Departamento","Department",NA,NA
215,12,"ARG","Argentina",7,"Corrientes",215,"Curuzú Cuatiá","Departamento","Department",NA,NA
216,12,"ARG","Argentina",7,"Corrientes",216,"Empedrado","Departamento","Department",NA,NA
217,12,"ARG","Argentina",7,"Corrientes",217,"Esquina","Departamento","Department",NA,NA
218,12,"ARG","Argentina",7,"Corrientes",218,"General Alvear","Departamento","Department",NA,"Alvear"
219,12,"ARG","Argentina",7,"Corrientes",219,"General Paz","Departamento","Department",NA,"Ganeral Paz"
220,12,"ARG","Argentina",7,"Corrientes",220,"Goya","Departamento","Department",NA,NA
221,12,"ARG","Argentina",7,"Corrientes",221,"Itatí","Departamento","Department",NA,NA
222,12,"ARG","Argentina",7,"Corrientes",222,"Ituzaingó","Departamento","Department",NA,NA
223,12,"ARG","Argentina",7,"Corrientes",223,"Lavalle","Departamento","Department",NA,NA
224,12,"ARG","Argentina",7,"Corrientes",224,"Mburucuyá","Departamento","Department",NA,"Mburucuy|Mburucuy"
225,12,"ARG","Argentina",7,"Corrientes",225,"Mercedes","Departamento","Department",NA,NA
226,12,"ARG","Argentina",7,"Corrientes",226,"Monte Caseros","Departamento","Department",NA,NA
227,12,"ARG","Argentina",7,"Corrientes",227,"Paso de los Libres","Departamento","Department",NA,NA
228,12,"ARG","Argentina",7,"Corrientes",228,"Saladas","Departamento","Department",NA,NA
229,12,"ARG","Argentina",7,"Corrientes",229,"San Cosme","Departamento","Department",NA,NA
230,12,"ARG","Argentina",7,"Corrientes",230,"San Luis del Palmar","Departamento","Department",NA,"San Luis del Pal"
231,12,"ARG","Argentina",7,"Corrientes",231,"San Martín","Departamento","Department",NA,"La Cruz"
232,12,"ARG","Argentina",7,"Corrientes",232,"San Miguel","Departamento","Department",NA,NA
233,12,"ARG","Argentina",7,"Corrientes",233,"San Roque","Departamento","Department",NA,NA
234,12,"ARG","Argentina",7,"Corrientes",234,"Santo Tomé","Departamento","Department",NA,NA
235,12,"ARG","Argentina",7,"Corrientes",235,"Sauce","Departamento","Department",NA,NA
236,12,"ARG","Argentina",8,"Entre Ríos",236,"Colón","Departamento","Department",NA,NA
237,12,"ARG","Argentina",8,"Entre Ríos",237,"Concordia","Departamento","Department",NA,NA
238,12,"ARG","Argentina",8,"Entre Ríos",238,"Diamante","Departamento","Department",NA,NA
239,12,"ARG","Argentina",8,"Entre Ríos",239,"Federación","Departamento","Department",NA,NA
240,12,"ARG","Argentina",8,"Entre Ríos",240,"Federal","Departamento","Department",NA,NA
241,12,"ARG","Argentina",8,"Entre Ríos",241,"Feliciano","Departamento","Department",NA,"San Jase de Feliciano"
242,12,"ARG","Argentina",8,"Entre Ríos",242,"Gualeguaychú","Departamento","Department",NA,NA
243,12,"ARG","Argentina",8,"Entre Ríos",243,"Gualeguay","Departamento","Department",NA,NA
244,12,"ARG","Argentina",8,"Entre Ríos",244,"Isla","Departamento","Department",NA,NA
245,12,"ARG","Argentina",8,"Entre Ríos",245,"Islas del Ibicuy","Departamento","Department",NA,"Villa Paranacito"
246,12,"ARG","Argentina",8,"Entre Ríos",246,"La Paz","Departamento","Department",NA,NA
247,12,"ARG","Argentina",8,"Entre Ríos",247,"Nogoyá","Departamento","Department",NA,NA
248,12,"ARG","Argentina",8,"Entre Ríos",248,"Paraná","Departamento","Department",NA,NA
249,12,"ARG","Argentina",8,"Entre Ríos",249,"Tala","Departamento","Department",NA,"Rosario del Tala"
250,12,"ARG","Argentina",8,"Entre Ríos",250,"Uruguay","Departamento","Department",NA,"Concepcion del Uruguay"
251,12,"ARG","Argentina",8,"Entre Ríos",251,"Victoria","Departamento","Department",NA,NA
252,12,"ARG","Argentina",8,"Entre Ríos",252,"Villaguay","Departamento","Department",NA,NA
253,12,"ARG","Argentina",9,"Formosa",253,"Bermejo","Departamento","Department",NA,"Laguna Yema"
254,12,"ARG","Argentina",9,"Formosa",254,"Formosa","Departamento","Department",NA,NA
255,12,"ARG","Argentina",9,"Formosa",255,"Laishi","Departamento","Department",NA,"Herradura"
256,12,"ARG","Argentina",9,"Formosa",256,"Matacos","Departamento","Department",NA,"Ingeniero Juarez"
257,12,"ARG","Argentina",9,"Formosa",257,"Patiño","Departamento","Department",NA,"Comandante Fontana"
258,12,"ARG","Argentina",9,"Formosa",258,"Pilagás","Departamento","Department",NA,"Espinillo"
259,12,"ARG","Argentina",9,"Formosa",259,"Pilcomayo","Departamento","Department",NA,"Clorinda"
260,12,"ARG","Argentina",9,"Formosa",260,"Pirané","Departamento","Department",NA,NA
261,12,"ARG","Argentina",9,"Formosa",261,"Ramón Lista","Departamento","Department",NA,"El Chorro"
